rf_pars,dataset
0.352941,18218_1
0.122642,13808_7
0.375,362_1
0.375,10169_0
0.235294,28077_0
0.294118,19509_1
0.294118,12334_0
0.25,16009_1
0.578947,684_1
0.578947,18465_0
0.0,22999_3
0.0,12493_7
0.283582,9987_1
0.283582,12493_1
0.333333,16748_0
0.291667,19060_0
0.236842,10949_2
0.126316,23884_0
0.236842,14954_0
0.119403,14663_0
0.142857,13815_2
0.177215,10196_0
0.232558,12013_0
0.363636,12717_2
0.194444,20736_0
0.230769,16629_0
0.148936,17791_0
0.148936,28258_0
0.257143,16675_0
0.252874,13664_0
0.177778,12020_0
0.619048,16105_0
0.166667,25256_20
0.177778,16313_11
0.0,16453_0
0.092437,11331_0
0.078947,10749_0
0.434783,18883_0
1.0,18850_2
0.192308,2224_0
0.192308,14188_0
0.176471,2250_0
0.155844,12746_0
0.1875,18131_0
0.221106,11988_0
0.333333,22941_0
0.333333,11487_7
0.352941,27016_1
0.3,21973_9
0.431034,23768_0
0.185714,19925_6
0.111111,22442_6
0.346154,17594_11
0.285714,25554_1
0.150943,17666_0
0.181818,17896_31
0.166667,25031_0
0.350877,10727_0
0.350877,11991_4
0.333333,26988_12
0.206897,14923_0
0.392157,26628_4
0.125,14035_0
0.342105,10268_3
0.411765,26988_8
0.15,10782_0
0.181818,12339_0
0.181818,11777_0
0.388889,26551_4
0.261905,14504_0
0.166667,22552_1
0.148148,25829_8
0.242424,16855_2
0.324324,14725_7
0.324324,17014_0
0.227848,18258_2
0.227848,14758_5
0.365854,15828_0
0.248485,2217_0
0.222222,18638_0
0.32,9972_0
0.30303,11712_1
0.285714,25256_23
0.4375,26669_46
0.0,14151_0
0.666667,688_1
0.266667,15639_0
0.428571,16632_2
0.5,16141_1
0.1875,14232_0
0.411765,16269_0
0.190476,18638_1
0.3875,20944_1
0.25,11032_4
0.389831,22091_1
0.389831,17443_0
0.195122,17761_0
0.181818,10169_2
0.435897,15021_7
0.305085,17814_0
0.452055,17594_13
0.403846,19925_0
0.411765,10703_5
0.171569,18448_0
0.407407,16637_2
0.326923,11768_1
0.380952,15427_0
0.131868,26212_1
0.131868,14833_4
0.666667,18438_0
0.320755,25284_1
0.071429,19447_0
0.105882,10568_0
0.105882,12165_2
0.317308,23535_1
0.317308,15253_0
0.269231,13887_0
0.333333,15019_5
0.333333,20239_0
0.052632,2191_2
0.454545,25818_4
0.296875,12855_2
0.333333,15635_1
0.246575,15179_2
0.377049,10118_0
0.116279,2180_2
0.511111,11966_0
0.428571,14534_25
0.427184,27176_0
0.227273,19782_3
0.727273,22442_11
0.237037,13184_0
0.257576,14725_5
0.253521,15908_1
0.272727,16737_0
0.161765,17723_0
0.529412,16007_0
0.295918,23436_0
0.40625,10856_1
0.294118,10098_1
0.35,11376_0
0.285714,15097_1
0.214286,17774_4
0.214286,11972_1
0.285714,17749_1
0.186813,10629_0
0.604651,10270_3
0.367347,17390_1
0.083333,10652_0
0.083333,14643_2
0.666667,19466_3
0.666667,20239_3
0.2,25341_1
0.777778,26085_4
0.36875,25635_1
0.36875,14959_2
0.236641,16785_1
0.236641,22751_1
0.236641,14888_3
0.236641,18077_0
0.328358,11783_0
0.477273,9936_1
0.291667,17885_1
0.316667,27689_0
0.144144,2248_0
0.093333,28112_0
0.411765,13801_2
0.411765,19797_0
0.4,10264_0
